[52.4220276, 16.9608998]
[52.3780373, 16.9680002]
[52.406374, 16.9251681]
[52.406374, 16.9251681]
[52.39542789999999, 16.934302]
[52.4265925, 16.9359771]
[52.3976202, 16.9242534]
[52.4580376, 16.9118774]
[52.457628, 16.9470046]
[52.406374, 16.9251681]
[52.3933385, 16.9475089]
[52.3995162, 16.8996409]
[52.4072998, 16.8695383]
[52.4008461, 16.9270095]
[52.38891700000001, 16.956179]
[52.4563192, 16.8862122]
[52.3926255, 16.8461367]
[52.4667132, 16.9377631]
[52.406374, 16.9251681]
[52.3876072, 16.8560874]
[52.406374, 16.9251681]
[52.3923077, 16.8909712]
[52.4088456, 16.9433703]
[52.45046290000001, 16.9477705]
[52.406374, 16.9251681]
[52.3853303, 16.9171875]
[52.4362271, 16.951442]
[52.406374, 16.9251681]
[52.4580376, 16.9118774]
[52.3830605, 16.8391493]
[52.3835498, 16.9409404]
[52.4218584, 16.9678136]
[52.4587528, 16.8508811]
[52.387893, 16.9203642]
[52.41030989999999, 16.9566491]
[52.4331665, 16.9085275]
[52.4218584, 16.9678136]
[52.3867872, 16.9489117]
[52.4265925, 16.9359771]
[52.41247449999999, 16.9396262]
[52.2768561, 21.1281869]
[52.3998787, 16.9223093]
[52.4095036, 16.9364972]
[52.43675529999999, 16.8505716]
[51.11011269999999, 17.0482512]
[52.3998314, 16.8975621]
[52.3769754, 16.8642895]
[52.435503, 16.9345685]
[52.3941009, 16.9242755]
[52.3867872, 16.9489117]
[52.42572389999999, 16.9231403]
[52.39032630000001, 16.8871088]
[52.4580376, 16.9118774]
[52.3891322, 16.9155228]
[52.376514, 16.8658091]
[52.406374, 16.9251681]
[52.406374, 16.9251681]
[52.3908575, 16.8751878]
[52.4262791, 16.8591739]
[52.3891322, 16.9155228]
[52.45046290000001, 16.9477705]
[52.4558154, 16.9437899]
[52.406374, 16.9251681]
[52.3895186, 16.8511706]
[52.3780373, 16.9680002]
[52.384245, 16.8650669]
[52.38036289999999, 16.91528]
[52.4095036, 16.9364972]
[52.406374, 16.9251681]
[52.387893, 16.9203642]
[52.4558154, 16.9437899]
[52.4623064, 16.9210513]
[52.38036289999999, 16.91528]
[52.3867872, 16.9489117]
[52.4139095, 16.9097665]
[52.406374, 16.9251681]
[52.3253889, 16.9440795]
[52.44639489999999, 16.9537315]
[52.4558154, 16.9437899]
[52.4218584, 16.9678136]
[52.3870381, 16.9138761]
[52.4031363, 16.8659869]
[52.3823926, 16.9651071]
[52.3835498, 16.9409404]
[52.3805449, 16.8795487]
[52.3995162, 16.8996409]
[52.406374, 16.9251681]
[52.390383, 16.8995203]
[52.3895186, 16.8511706]
[52.4362271, 16.951442]
[52.5113663, 16.9873577]
[52.4244964, 16.9265399]
[52.4362271, 16.951442]
[52.4244964, 16.9265399]
[52.376514, 16.8658091]
[52.41247449999999, 16.9396262]
[52.38131019999999, 16.9157106]
[52.435503, 16.9345685]
[52.3867872, 16.9489117]
[52.4095036, 16.9364972]
[52.406374, 16.9251681]
[52.4085378, 16.9431652]
[52.4362271, 16.951442]
[52.4362271, 16.951442]
[52.39252579999999, 16.9029755]
[52.4380509, 16.921461]
[52.41030989999999, 16.9566491]
[52.4135106, 16.8848291]
[52.43218479999999, 16.9298979]
[52.3995162, 16.8996409]
[52.43111769999999, 16.9414611]
[52.435503, 16.9345685]
[52.4007719, 16.876587]
[52.42791020000001, 16.9526655]
[52.4110329, 16.8714799]
[52.387893, 16.9203642]
[52.3873975, 16.9121257]
